issue_number,OriginationPhase,DetectionPhase,Category,Priority,Status,created_at,closed_at,Author
7918,Documentation,Field,Enhancement,Major,Approved,8/11/2020,10/13/2020,"Bernhard, Cindy"
7919,Design,Coding,Inquiry,High,pendingReview,8/12/2020,10/14/2020,"Harvey, Gregoria"
7920,Coding,Testing,Bug,Low,Completed,8/13/2020,,"Murazik, Gino"
7921,Design,Coding,Inquiry,High,inProgress,8/14/2020,,"Green, Shemar"
7922,Coding,Testing,Bug,Low,Completed,8/15/2020,,"Murazik, Gino"
7923,Testing,Field,Enhancement,Medium,Completed,8/16/2020,10/18/2020,"Streich, Dagmar"
7924,Design,Testing,Inquiry,Critical,Approved,8/17/2020,10/19/2020,"O'Kon, Brandt"
7925,Requirements,Coding,Bug,Critical,inProgress,8/18/2020,10/20/2020,"Weissnat, Hadley"
7926,Requirements,Design,Inquiry,Low,Rejected,8/19/2020,10/21/2020,"Schimmel, Carmela"
7927,Testing,Field,Bug,Medium,Completed,8/20/2020,10/22/2020,"Bruen, Eleanora"
7928,Documentation,Field,Inquiry,Major,pendingReview,8/21/2020,,"Veum, Birdie"
7929,Design,Testing,Enhancement,High,Approved,8/22/2020,,"Weissnat, Hadley"
7930,Requirements,Design,Inquiry,Low,Rejected,8/23/2020,10/25/2020,"Shanahan, Alexandrine"
7931,Design,Testing,Enhancement,High,Completed,8/24/2020,,"Kirlin, Hulda"
7932,Requirements,Design,Inquiry,Low,pendingReview,8/25/2020,10/27/2020,"Haley, Rubie"
7933,Testing,Field,Bug,Medium,Approved,8/26/2020,10/28/2020,"Bayer, Lucie"
7934,Documentation,Field,Enhancement,Major,inProgress,8/27/2020,,"Wuckert, Melvina"
7935,Design,Testing,Inquiry,Critical,Rejected,8/28/2020,10/30/2020,"Larson, Zackary"
7936,Requirements,Coding,Bug,High,Rejected,8/29/2020,,"Cartwright, Jamaal"
7937,Requirements,Design,Inquiry,Low,Rejected,8/30/2020,,"Bartoletti, Nettie"
7938,Testing,Field,Bug,Medium,Rejected,8/31/2020,11/2/2020,"Morissette, Quinn"
7939,Documentation,Field,Enhancement,Major,Completed,9/1/2020,,"Blick, Nina"
7940,Design,Coding,Inquiry,High,inProgress,9/2/2020,2/12/2020,"McDermott, Margot"
7941,Requirements,Testing,Bug,High,Completed,1/10/2020,,"Veum, Birdie"
7942,Documentation,Field,Inquiry,Major,Completed,1/11/2020,,"Stroman, Julian"
7943,Design,Testing,Enhancement,High,Approved,1/12/2020,2/15/2020,"Kessler, Anibal"
7944,Requirements,Design,Inquiry,Low,Completed,1/13/2020,,"Shanahan, Alexandrine"
7945,Testing,Field,Bug,Medium,Completed,1/14/2020,,"Weimann, Herta"
7946,Documentation,Field,Enhancement,Major,Approved,1/15/2020,2/18/2020,"Moen, Holden"
7947,Design,Testing,Inquiry,Critical,inProgress,1/16/2020,,"Lubowitz, Leslie"
7948,Requirements,Coding,Bug,High,Rejected,1/17/2020,3/20/2020,"Kuhn, Krystina"
7949,Requirements,Design,Inquiry,Low,Completed,1/18/2020,3/21/2020,"Harvey, Gregoria"
7950,Testing,Field,Bug,Medium,pendingReview,1/19/2020,,"Bins, Malika"
7951,Documentation,Field,Enhancement,Major,Approved,1/20/2020,3/23/2020,"Kirlin, Hulda"
7952,Design,Coding,Inquiry,High,inProgress,1/21/2020,,"Hintz, Gregorio"
7953,Requirements,Testing,Bug,High,Rejected,1/22/2020,,"O'Kon, Brandt"
7954,Testing,Field,Bug,Medium,Completed,3/2/2020,3/26/2020,"Weimann, Herta"
7955,Documentation,Field,Enhancement,Major,pendingReview,3/3/2020,,"O'Kon, Brandt"
7956,Design,Coding,Inquiry,High,inProgress,2/27/2020,3/18/2020,"Wehner, Izabella"
7957,Coding,Testing,Bug,Low,Completed,2/28/2020,,"Heathcote, Gisselle"
7958,Design,Coding,Inquiry,High,Completed,8/1/2020,,"Weimann, Herta"
7959,Coding,Testing,Bug,Low,pendingReview,8/2/2020,,"Kuphal, Gilberto"
7960,Testing,Field,Enhancement,Medium,inProgress,8/22/2020,,"Kirlin, Hulda"
7961,Design,Testing,Inquiry,Critical,Completed,8/23/2020,10/25/2020,"Orn, Jaeden"
7962,Requirements,Coding,Bug,Critical,inProgress,8/24/2020,,"Runte, Keely"
7963,Requirements,Design,Inquiry,Low,Completed,8/25/2020,10/27/2020,"Walker, Gavin"
7964,Testing,Field,Bug,Medium,Completed,8/26/2020,10/28/2020,"Lindgren, Jackeline"
7965,Documentation,Field,Enhancement,Major,Approved,8/27/2020,,"Spencer, Lacey"
7966,Design,Testing,Bug,Critical,inProgress,8/28/2020,10/30/2020,"Beahan, Erling"
7967,Requirements,Coding,Bug,High,Rejected,8/29/2020,,"Herzog, Barbara"
7968,Requirements,Design,Inquiry,Low,Completed,8/30/2020,,"Morissette, Quinn"
7969,Testing,Field,Bug,Medium,pendingReview,8/31/2020,11/2/2020,"Johnson, Christina"
7970,Documentation,Field,Enhancement,Major,Approved,9/1/2020,,"Schimmel, Carmela"
7971,Design,Coding,Inquiry,Low,Rejected,9/2/2020,2/12/2020,"Kessler, Anibal"
7972,Testing,Field,Bug,Medium,Completed,1/10/2020,,"Hessel, Caitlyn"
7973,Documentation,Field,Enhancement,Major,pendingReview,1/11/2020,,"Kuphal, Gilberto"
7974,Design,Coding,Inquiry,High,Approved,1/12/2020,2/15/2020,"Schowalter, Lily"
7975,Documentation,Field,Enhancement,Major,inProgress,1/13/2020,,"Kuhn, Krystina"
7976,Design,Testing,Bug,Critical,Rejected,1/14/2020,,"Parker, Justine"
7977,Requirements,Coding,Bug,High,Completed,1/15/2020,2/18/2020,"Mante, Darion"
7978,Requirements,Design,Inquiry,Low,pendingReview,1/16/2020,,"Ledner, Ludie"
7979,Testing,Field,Bug,Medium,inProgress,1/17/2020,3/20/2020,"Gleason, Maximillian"
7980,Documentation,Field,Enhancement,Major,Completed,1/18/2020,3/21/2020,"Moen, Holden"
7981,Design,Coding,Inquiry,Low,pendingReview,1/19/2020,,"O'Reilly, Jessyca"
7982,Testing,Field,Bug,Medium,inProgress,1/20/2020,3/23/2020,"King, Kaya"
7983,Documentation,Field,Enhancement,Major,Completed,1/21/2020,,"Welch, Roxanne"
7984,Documentation,Field,Enhancement,Major,inProgress,1/22/2020,,"Grady, Estelle"
7985,Design,Coding,Inquiry,Low,Completed,3/2/2020,3/26/2020,"Stokes, Trenton"
7986,Testing,Field,Bug,Medium,Completed,3/3/2020,,"Hettinger, Macie"
7987,Documentation,Field,Enhancement,Major,Approved,2/27/2020,3/18/2020,"Greenfelder, Kaylee"
7988,Design,Coding,Inquiry,High,Completed,2/28/2020,,"O'Kon, Brandt"
7989,Coding,Testing,Bug,Low,pendingReview,8/1/2020,,"Heathcote, Gisselle"
7990,Design,Coding,Inquiry,High,inProgress,8/2/2020,,"McDermott, Margot"
7991,Coding,Testing,Bug,Low,Completed,8/3/2020,8/15/2020,"O'Reilly, Jessyca"
7992,Testing,Field,Enhancement,Medium,inProgress,8/4/2020,8/16/2020,"Bernhard, Cindy"
7993,Design,Testing,Inquiry,Critical,Completed,8/5/2020,9/17/2020,"Bins, Malika"
7994,Requirements,Coding,Bug,Critical,pendingReview,8/6/2020,8/18/2020,"Johnson, Christina"
7995,Requirements,Design,Inquiry,Low,inProgress,8/7/2020,8/19/2020,"Kuphal, Gilberto"
7996,Testing,Field,Bug,Medium,Completed,8/8/2020,8/20/2020,"Baumbach, Casper"
7997,Documentation,Field,Inquiry,Major,inProgress,8/9/2020,10/21/2020,"Hermann, Eleazar"
7998,Design,Testing,Enhancement,High,Completed,8/10/2020,8/22/2020,"Brown, Destinee"
7999,Requirements,Design,Inquiry,Low,Completed,8/11/2020,8/23/2020,"Mante, Jaime"
8000,Testing,Field,Bug,Medium,Approved,8/12/2020,8/24/2020,"Jakubowski, Ova"
8001,Documentation,Field,Enhancement,Major,inProgress,8/13/2020,8/25/2020,"Thiel, Alvera"
8002,Design,Testing,Bug,Critical,Rejected,8/14/2020,8/26/2020,"Cormier, Dangelo"
8003,Requirements,Coding,Bug,High,Completed,8/15/2020,8/27/2020,"Wisoky, Santiago"
8004,Requirements,Design,Inquiry,Low,pendingReview,8/16/2020,8/28/2020,"Murazik, Aleen"
8005,Testing,Field,Bug,Medium,Approved,8/17/2020,8/29/2020,"Brown, Destinee"
8006,Documentation,Field,Enhancement,Major,Rejected,8/18/2020,,"Orn, Lemuel"
8007,Design,Coding,Inquiry,Low,Completed,8/19/2020,,"Bernhard, Frida"
8008,Testing,Field,Bug,Medium,pendingReview,8/20/2020,9/1/2020,"Crona, Charlie"
8009,Documentation,Field,Enhancement,Major,Approved,8/21/2020,,"Cole, Delbert"
8010,Design,Coding,Inquiry,High,inProgress,8/22/2020,9/3/2020,"Langosh, Dereck"
8011,Coding,Testing,Bug,Low,Rejected,8/23/2020,9/4/2020,"Lind, Chelsey"
8012,Design,Coding,Inquiry,High,Completed,8/24/2020,,"Quitzon, Linwood"
8013,Coding,Testing,Bug,Low,pendingReview,8/25/2020,9/6/2020,"Satterfield, Mckenzie"
8014,Testing,Field,Enhancement,Medium,inProgress,8/26/2020,9/7/2020,"Jast, Rafael"
8015,Design,Testing,Inquiry,Critical,Completed,8/27/2020,,"Beer, Andre"
8016,Testing,Field,Bug,Medium,Completed,8/28/2020,9/9/2020,"Mohr, Adelbert"
8017,Documentation,Field,Enhancement,Major,pendingReview,8/29/2020,9/10/2020,"Wisoky, Santiago"
8018,Design,Coding,Inquiry,Low,inProgress,12/9/2020,,"Bailey, Helen"
8019,Testing,Field,Bug,Medium,Completed,12/10/2020,,"Medhurst, Demarco"
8020,Documentation,Field,Enhancement,Major,inProgress,12/11/2020,12/13/2020,"Thiel, Alvera"
8021,Design,Coding,Inquiry,High,Completed,12/12/2020,12/14/2020,"Cormier, Dangelo"
8022,Documentation,Field,Enhancement,Major,Completed,12/13/2020,,"Franecki, Genevieve"
8023,Design,Testing,Bug,Critical,Approved,12/14/2020,,"Hintz, Rebeka"
8024,Requirements,Coding,Bug,High,inProgress,3/1/2020,,"Morissette, Carol"
8025,Requirements,Design,Inquiry,Low,Rejected,3/2/2020,3/26/2020,"Mante, Jaime"
8026,Testing,Field,Bug,Medium,Completed,8/9/2020,9/21/2020,"Weissnat, Alexys"
8027,Documentation,Field,Enhancement,Major,pendingReview,8/10/2020,9/22/2020,"Hintz, Rebeka"
8028,Design,Coding,Inquiry,Low,Approved,8/11/2020,9/21/2020,"Satterfield, Mckenzie"
8029,Testing,Field,Bug,Medium,Rejected,8/12/2020,9/22/2020,"Hammes, Maximillia"
8030,Documentation,Field,Enhancement,Major,Approved,8/13/2020,9/21/2020,"Hudson, Yesenia"
8031,Documentation,Field,Enhancement,Major,Rejected,8/14/2020,9/22/2020,"Leannon, Cody"
8032,Design,Coding,Inquiry,Low,Completed,8/15/2020,9/21/2020,"Thiel, Alvera"
8033,Testing,Field,Bug,Medium,pendingReview,8/16/2020,9/22/2020,"Wilderman, Deshawn"
8034,Documentation,Field,Enhancement,Major,Approved,8/17/2020,9/21/2020,"Hudson, Petra"
8035,Design,Coding,Inquiry,High,inProgress,2/24/2019,,"Thiel, Alvera"
8036,Coding,Testing,Bug,Low,Rejected,2/25/2019,,"Zboncak, Edwin"
8037,Design,Coding,Inquiry,High,Rejected,2/26/2019,3/7/2019,"Oberbrunner, Eveline"
8038,Coding,Testing,Bug,Low,Rejected,2/27/2019,3/8/2019,"Brakus, Tanya"
8039,Testing,Field,Enhancement,Medium,Rejected,2/28/2019,,"O'Kon, Boris"
8040,Design,Testing,Inquiry,Critical,Completed,3/1/2019,,"Crona, Charlie"
8041,Requirements,Coding,Bug,Critical,pendingReview,3/2/2019,3/11/2019,"Lynch, Hailee"
8042,Requirements,Design,Inquiry,Low,Approved,3/3/2019,3/12/2019,"Zulauf, Germaine"
8043,Testing,Field,Bug,Medium,Rejected,3/4/2019,,"Hammes, Hyman"
8044,Documentation,Field,Inquiry,Major,Completed,3/5/2019,,"Toy, Reese"
8045,Design,Testing,Enhancement,High,pendingReview,2/26/2019,3/17/2019,"Jakubowski, Ova"
8046,Requirements,Design,Inquiry,Low,Approved,2/27/2019,3/18/2019,"Mante, Jaime"
8047,Testing,Field,Bug,Medium,inProgress,2/28/2019,,"Bailey, Helen"
8048,Documentation,Field,Enhancement,Major,Rejected,3/1/2019,,"Oberbrunner, Eveline"
8049,Design,Testing,Bug,Critical,Completed,3/2/2019,3/3/2019,"Wehner, Delta"
8050,Requirements,Coding,Bug,High,pendingReview,3/3/2019,,"Gibson, Alfred"
8051,Requirements,Design,Inquiry,Low,inProgress,3/4/2019,3/15/2019,"Effertz, Hannah"
8052,Testing,Field,Bug,Medium,Completed,3/5/2019,3/16/2019,"Brown, Destinee"
8053,Documentation,Field,Enhancement,Major,Completed,3/6/2019,,"Sporer, Marvin"
8054,Design,Coding,Inquiry,Low,pendingReview,3/7/2019,,"Spencer, Xzavier"
8055,Testing,Field,Bug,Medium,inProgress,3/8/2019,3/19/2019,"Kuhlman, Marianna"
8056,Documentation,Field,Enhancement,Major,Completed,3/9/2019,3/10/2019,"Hintz, Rebeka"
8057,Design,Coding,Inquiry,High,inProgress,3/10/2019,,"Haag, Johanna"
8058,Design,Testing,Bug,Critical,Completed,3/11/2019,,"Wisoky, Santiago"
8059,Requirements,Coding,Bug,High,Completed,3/12/2019,3/13/2019,"Thiel, Patrick"
8060,Requirements,Design,Inquiry,Low,Approved,8/13/2019,,"Satterfield, Mckenzie"
8061,Testing,Field,Bug,Medium,inProgress,8/14/2019,,"Rogahn, Arlene"
8062,Documentation,Field,Enhancement,Major,Rejected,8/15/2019,,"Zieme, Freda"
8063,Design,Coding,Inquiry,Low,Completed,8/16/2019,,"Tremblay, Enoch"
8064,Testing,Field,Bug,Medium,pendingReview,3/17/2019,3/25/2019,"Erdman, Sophie"
8065,Documentation,Field,Enhancement,Major,Completed,3/18/2019,3/26/2019,"Ullrich, Beatrice"
8066,Design,Coding,Inquiry,High,Completed,3/19/2019,,"Hintz, Rebeka"
8067,Coding,Testing,Bug,Low,Completed,3/20/2019,,"Barrows, Blake"
8068,Design,Coding,Inquiry,High,Completed,3/17/2019,3/25/2019,"Jast, Rafael"
8069,Coding,Testing,Bug,Low,Completed,2/27/2019,3/18/2019,"Kuhlman, Marianna"
8070,Requirements,Coding,Inquiry,Low,Completed,2/28/2019,3/19/2019,"Abernathy, Fern"
8071,Testing,Field,Bug,Medium,Completed,3/1/2019,3/20/2019,"Sawayn, Scotty"
8072,Documentation,Field,Enhancement,Major,pendingReview,3/5/2019,3/16/2019,"Orn, Lemuel"
8073,Requirements,Testing,Bug,High,inProgress,3/6/2019,,"Armstrong, Marie"
8074,Testing,Field,Bug,Medium,pendingReview,3/7/2019,,"Hudson, Yesenia"
8075,Documentation,Field,Enhancement,Major,Approved,3/8/2019,3/19/2019,"O'Reilly, Ottilie"
8076,Design,Coding,Inquiry,High,pendingReview,3/9/2019,3/10/2019,"Bednar, Joanne"
8077,Coding,Testing,Bug,Low,pendingReview,3/10/2019,,"Hintz, Monserrat"
8078,Design,Coding,Inquiry,High,pendingReview,3/11/2019,,"Corwin, Claire"
8079,Coding,Testing,Bug,Low,Completed,3/12/2019,3/13/2019,"Kiehn, Maud"
8080,Testing,Field,Enhancement,Medium,Completed,2/13/2019,3/7/2019,"Roob, Elnora"
8081,Design,Testing,Inquiry,Critical,Completed,2/14/2019,,"Sporer, Marvin"
8082,Requirements,Coding,Bug,Critical,Rejected,2/15/2019,,"Rice, Elbert"
8083,Requirements,Design,Inquiry,Low,Rejected,2/16/2019,,"Kub, Melyna"
8084,Testing,Field,Bug,Medium,Completed,2/17/2019,5/11/2019,"Quitzon, Linwood"
8085,Documentation,Field,Inquiry,Major,Completed,2/18/2019,6/12/2019,"Morissette, Carol"
8086,Design,Testing,Enhancement,High,Completed,2/19/2019,,"Brown, Destinee"
8087,Requirements,Design,Inquiry,Low,inProgress,2/20/2019,,"Cummings, Sheridan"
8088,Testing,Field,Bug,Medium,Completed,2/21/2019,3/15/2019,"Langosh, Dereck"
8089,Documentation,Field,Enhancement,Major,inProgress,2/22/2019,,"Brakus, Tanya"
8090,Design,Testing,Bug,Critical,Completed,2/23/2019,,"Bednar, Joanne"
8091,Requirements,Coding,Bug,High,Completed,2/24/2019,3/18/2019,"Erdman, Sophie"
8092,Requirements,Design,Inquiry,Low,Approved,2/25/2019,,"Sawayn, Scotty"
8093,Testing,Field,Bug,Medium,inProgress,3/4/2019,3/20/2019,"Gibson, Alfred"
8094,Documentation,Field,Enhancement,Major,Rejected,3/5/2019,3/21/2019,"White, Marianne"
8095,Design,Coding,Inquiry,Low,Completed,3/6/2019,,"Bednar, Joanne"
8096,Testing,Field,Bug,Medium,pendingReview,2/27/2019,3/23/2019,"Wisoky, Santiago"
8097,Documentation,Field,Enhancement,Major,Approved,2/28/2019,,"Thiel, Patrick"
8098,Design,Coding,Inquiry,High,Rejected,3/1/2019,,"Satterfield, Mckenzie"
8099,Testing,Field,Bug,Medium,Completed,3/2/2019,3/26/2019,"Rogahn, Arlene"
8100,Documentation,Field,Enhancement,Major,pendingReview,3/3/2019,,"Zieme, Freda"
8101,Design,Coding,Inquiry,Low,Approved,3/4/2019,3/28/2019,"Tremblay, Enoch"
8102,Testing,Field,Bug,Medium,inProgress,3/5/2019,3/29/2019,"Erdman, Sophie"
8103,Documentation,Field,Enhancement,Major,Rejected,3/6/2019,,"Ullrich, Beatrice"
8104,Design,Coding,Inquiry,High,Completed,3/4/2019,3/15/2019,"Hintz, Rebeka"
8105,Coding,Testing,Bug,Low,pendingReview,3/5/2019,3/16/2019,"Barrows, Blake"
8106,Design,Coding,Inquiry,High,inProgress,3/6/2019,,"Jast, Rafael"
8107,Requirements,Design,Inquiry,Low,Completed,2/7/2019,,"Kuhlman, Marianna"
8108,Documentation,Field,Enhancement,Major,pendingReview,2/8/2019,3/19/2019,"Abernathy, Fern"
8109,Design,Coding,Inquiry,Low,inProgress,2/9/2019,3/10/2019,"Sawayn, Scotty"
8110,Testing,Field,Bug,Medium,Completed,2/10/2019,,"Orn, Lemuel"
8111,Documentation,Field,Enhancement,Major,inProgress,2/11/2019,,"Armstrong, Marie"
8112,Documentation,Field,Enhancement,Major,Completed,2/12/2019,3/13/2019,"Hudson, Yesenia"
8113,Design,Coding,Inquiry,Low,Completed,2/13/2019,3/14/2019,"O'Reilly, Ottilie"
8114,Testing,Field,Bug,Medium,Approved,3/14/2019,,"Bednar, Joanne"
8115,Documentation,Field,Enhancement,Major,Completed,3/15/2019,,"Hintz, Monserrat"
8116,Design,Coding,Inquiry,High,Completed,3/16/2019,,"Corwin, Claire"
8117,Design,Testing,Bug,Critical,Completed,3/17/2019,4/25/2019,"Kiehn, Maud"
8118,Requirements,Coding,Bug,High,Completed,3/18/2019,4/26/2019,"Roob, Elnora"
8119,Requirements,Design,Inquiry,Low,pendingReview,3/19/2019,,"Sporer, Marvin"
8120,Testing,Field,Bug,Medium,inProgress,3/20/2019,,"Rice, Elbert"
8121,Documentation,Field,Enhancement,Major,pendingReview,3/17/2019,3/25/2019,"Kub, Melyna"
8122,Design,Coding,Inquiry,Low,Approved,2/27/2019,3/18/2019,"Quitzon, Linwood"
8123,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Morissette, Carol"
8124,Design,Coding,Inquiry,High,pendingReview,3/1/2019,,"Brown, Destinee"
8125,Coding,Testing,Bug,Low,pendingReview,3/2/2019,3/3/2019,"Cummings, Sheridan"
8126,Design,Coding,Inquiry,High,Completed,3/3/2019,,"Langosh, Dereck"
8127,Requirements,Design,Inquiry,Low,Completed,3/4/2019,3/15/2019,"Brakus, Tanya"
8128,Testing,Field,Bug,Medium,Completed,3/5/2019,3/16/2019,"Bednar, Joanne"
8129,Documentation,Field,Enhancement,Major,Rejected,8/6/2019,,"Erdman, Sophie"
8130,Design,Coding,Inquiry,Low,Rejected,8/7/2019,,"Sawayn, Scotty"
8131,Testing,Field,Bug,Medium,Rejected,3/8/2019,3/19/2019,"Gibson, Alfred"
8132,Documentation,Field,Enhancement,Major,Completed,3/9/2019,3/10/2019,"White, Marianne"
8133,Documentation,Field,Enhancement,Major,Completed,3/10/2019,,"Bednar, Joanne"
8134,Design,Coding,Inquiry,Low,inProgress,3/11/2019,,"Wisoky, Santiago"
8135,Requirements,Design,Inquiry,Low,Completed,4/12/2019,5/13/2019,"Thiel, Patrick"
8136,Testing,Field,Bug,Medium,inProgress,4/13/2019,5/14/2019,"Satterfield, Mckenzie"
8137,Documentation,Field,Enhancement,Major,Completed,1/5/2019,5/15/2019,"Rogahn, Arlene"
8138,Design,Coding,Inquiry,Low,Completed,1/6/2019,5/16/2019,"Zieme, Freda"
8139,Testing,Field,Bug,Medium,Approved,1/7/2019,5/17/2019,"Tremblay, Enoch"
8140,Documentation,Field,Enhancement,Major,inProgress,1/8/2019,5/18/2019,"Erdman, Sophie"
8141,Documentation,Field,Enhancement,Major,Rejected,1/9/2019,,"Ullrich, Beatrice"
8142,Design,Coding,Inquiry,Low,Completed,1/10/2019,,"Hintz, Rebeka"
8143,Testing,Field,Bug,Medium,pendingReview,1/11/2019,5/21/2019,"Barrows, Blake"
8144,Documentation,Field,Enhancement,Major,Approved,1/12/2019,5/22/2019,"Jast, Rafael"
8145,Design,Coding,Inquiry,High,Rejected,1/13/2019,5/23/2019,"Kuhlman, Marianna"
8146,Coding,Testing,Bug,Low,Completed,1/14/2019,,"Abernathy, Fern"
8147,Design,Coding,Inquiry,High,pendingReview,1/15/2019,2/18/2019,"Sawayn, Scotty"
8148,Coding,Testing,Bug,Low,Approved,1/16/2019,,"Orn, Lemuel"
8149,Testing,Field,Enhancement,Medium,inProgress,5/17/2019,5/20/2019,"Armstrong, Marie"
8150,Requirements,Design,Inquiry,Low,Rejected,5/18/2019,5/21/2019,"Hudson, Yesenia"
8151,Testing,Field,Bug,Medium,Completed,5/19/2019,,"O'Reilly, Ottilie"
8152,Documentation,Field,Enhancement,Major,pendingReview,5/20/2019,6/23/2019,"Bednar, Joanne"
8153,Design,Testing,Inquiry,Critical,inProgress,5/21/2019,,"Hintz, Monserrat"
8154,Requirements,Coding,Bug,High,Completed,1/22/2019,,"Corwin, Claire"
8155,Requirements,Design,Inquiry,Low,pendingReview,3/2/2019,3/26/2019,"Kiehn, Maud"
8156,Testing,Field,Bug,Medium,inProgress,3/3/2019,,"Roob, Elnora"
8157,Documentation,Field,Enhancement,Major,Approved,2/27/2019,3/18/2019,"Sporer, Marvin"
8158,Design,Coding,Inquiry,High,inProgress,2/28/2019,,"Rice, Elbert"
8159,Testing,Field,Bug,Medium,Rejected,3/1/2019,,"Kub, Melyna"
8160,Documentation,Field,Enhancement,Major,Completed,3/2/2019,3/3/2019,"Quitzon, Linwood"
8161,Requirements,Testing,Bug,High,pendingReview,3/3/2019,,"Morissette, Carol"
8162,Testing,Field,Bug,Medium,inProgress,3/4/2019,3/15/2019,"Brown, Destinee"
8163,Documentation,Field,Enhancement,Major,Completed,3/5/2019,3/16/2019,"Cummings, Sheridan"
8164,Design,Coding,Inquiry,High,pendingReview,3/6/2019,,"Langosh, Dereck"
8165,Coding,Testing,Bug,Low,inProgress,3/7/2019,,"Brakus, Tanya"
8166,Design,Coding,Inquiry,High,Completed,3/8/2019,3/19/2019,"Bednar, Joanne"
8167,Coding,Testing,Bug,Low,inProgress,3/9/2019,3/10/2019,"Erdman, Sophie"
8168,Testing,Field,Enhancement,Medium,Completed,3/10/2019,,"Sawayn, Scotty"
8169,Requirements,Design,Inquiry,Low,Rejected,4/11/2019,4/12/2019,"Gibson, Alfred"
8170,Testing,Field,Bug,Medium,Completed,4/12/2019,4/13/2019,"White, Marianne"
8171,Documentation,Field,Enhancement,Major,pendingReview,4/13/2019,4/14/2019,"Bednar, Joanne"
8172,Design,Testing,Inquiry,Critical,Completed,3/14/2019,,"Wisoky, Santiago"
8173,Testing,Field,Enhancement,Medium,Completed,3/15/2019,,"Thiel, Patrick"
8174,Design,Testing,Inquiry,Critical,pendingReview,6/16/2019,8/24/2019,"Satterfield, Mckenzie"
8175,Testing,Field,Bug,Medium,inProgress,6/17/2019,8/25/2019,"Rogahn, Arlene"
8176,Documentation,Field,Enhancement,Major,Completed,6/18/2019,8/26/2019,"Zieme, Freda"
8177,Design,Coding,Inquiry,Low,inProgress,7/19/2019,8/27/2019,"Tremblay, Enoch"
8178,Testing,Field,Bug,Medium,Completed,7/20/2019,8/28/2019,"Erdman, Sophie"
8179,Documentation,Field,Enhancement,Major,Completed,7/21/2019,8/29/2019,"Ullrich, Beatrice"
8180,Design,Coding,Inquiry,High,Approved,7/22/2019,8/30/2019,"Hintz, Rebeka"
8181,Coding,Testing,Bug,Low,inProgress,7/23/2019,,"Barrows, Blake"
8182,Design,Coding,Inquiry,High,Rejected,8/1/2019,8/20/2019,"Jast, Rafael"
8183,Requirements,Design,Inquiry,Low,Completed,8/2/2019,8/21/2019,"Kuhlman, Marianna"
8184,Testing,Field,Bug,Medium,pendingReview,8/3/2019,8/22/2019,"Abernathy, Fern"
8185,Documentation,Field,Enhancement,Major,Approved,8/4/2019,8/23/2019,"Sawayn, Scotty"
8186,Design,Testing,Inquiry,Critical,Rejected,8/5/2019,8/24/2019,"Orn, Lemuel"
8187,Requirements,Coding,Bug,High,Completed,8/6/2019,8/25/2019,"Armstrong, Marie"
8188,Requirements,Design,Inquiry,Low,pendingReview,8/7/2019,,"Hudson, Yesenia"
8189,Testing,Field,Bug,Medium,Approved,8/8/2019,3/19/2019,"O'Reilly, Ottilie"
8190,Documentation,Field,Enhancement,Major,inProgress,8/9/2019,3/10/2019,"Bednar, Joanne"
8191,Design,Coding,Inquiry,High,Rejected,3/10/2019,,"Hintz, Monserrat"
8192,Requirements,Testing,Bug,High,Completed,3/11/2019,3/12/2019,"Corwin, Claire"
8193,Testing,Field,Bug,Medium,pendingReview,3/12/2019,3/13/2019,"Kiehn, Maud"
8194,Design,Coding,Inquiry,Low,inProgress,2/13/2019,3/7/2019,"Roob, Elnora"
8195,Testing,Field,Bug,Medium,Completed,2/14/2019,,"Sporer, Marvin"
8196,Documentation,Field,Enhancement,Major,pendingReview,2/15/2019,3/9/2019,"Rice, Elbert"
8197,Design,Coding,Inquiry,High,inProgress,2/16/2019,,"Kub, Melyna"
8198,Design,Coding,Inquiry,High,Completed,2/17/2019,3/11/2019,"Quitzon, Linwood"
8199,Requirements,Coding,Bug,High,pendingReview,2/18/2019,3/12/2019,"Morissette, Carol"
8200,Requirements,Coding,Bug,Critical,Approved,2/24/2019,,"Smith, Electa"
8201,Design,Testing,Enhancement,High,Approved,2/25/2019,,"Murazik, Meagan"
8202,Requirements,Design,Inquiry,Low,Rejected,2/26/2019,3/7/2019,"Predovic, Scarlett"
8203,Testing,Field,Bug,High,Completed,2/27/2019,3/8/2019,"Wehner, Lambert"
8204,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Bauch, Frederick"
8205,Design,Coding,Inquiry,High,inProgress,3/1/2019,,"Klein, Ron"
8206,Coding,Testing,Bug,Low,Completed,3/2/2019,3/11/2019,"Stehr, Isabell"
8207,Testing,Field,Enhancement,Medium,Completed,3/3/2019,3/12/2019,"Cummerata, Mac"
8208,Design,Testing,Inquiry,Critical,Approved,3/4/2019,,"Okuneva, Ona"
8209,Requirements,Coding,Bug,High,inProgress,3/5/2019,,"Gleichner, Maci"
8210,Requirements,Design,Inquiry,Low,Rejected,2/26/2019,3/17/2019,"Stanton, Veronica"
8211,Testing,Field,Bug,Medium,Completed,2/27/2019,3/18/2019,"Hegmann, Price"
8212,Documentation,Field,Enhancement,Major,pendingReview,2/28/2019,,"Brakus, Shaina"
